,CIL,ref,ouverture,cloture
2020-05-29,,"16,000",,
2020-05-30,,,,
2020-05-31,,,,
2020-06-01,,,,
2020-06-02,,"16,000","16,000","16,000"
2020-06-03,,,,
2020-06-04,,"16,000","16,000","16,000"
2020-06-05,,"16,000","16,000","15,530"
2020-06-06,,,,
2020-06-07,,,,
2020-06-08,,"15,530","15,500","15,500"
2020-06-09,,"15,500",,
2020-06-10,,"15,500","15,090","15,090"
2020-06-11,,"15,090","15,120","15,120"
2020-06-12,,"15,120",,
2020-06-13,,,,
2020-06-14,,,,
2020-06-15,,"15,120",,
2020-06-16,,"15,120","15,140","15,140"
2020-06-17,,"15,140","15,500","15,500"
2020-06-18,,"15,500","15,930","15,940"
2020-06-19,,"15,940","16,380","16,380"
2020-06-20,,,,
2020-06-21,,,,
2020-06-22,,"16,380",,
2020-06-23,,"16,380",,
2020-06-24,,"16,380",,
2020-06-25,,"16,380",,
2020-06-26,,"16,380",,
2020-06-27,,,,
2020-06-28,,,,
2020-06-29,,"16,380","16,000","16,000"
2020-06-30,,"16,000",,
2020-07-01,,"16,000",,
2020-07-02,,"16,000",,
2020-07-03,,"16,000",,
2020-07-04,,,,
2020-07-05,,,,
2020-07-06,,"16,000",,
2020-07-07,,"16,000",,
2020-07-08,,"16,000","16,000","16,000"
2020-07-09,,"16,000","16,000","16,000"
2020-07-10,,"16,000","16,000","16,000"
2020-07-11,,,,
2020-07-12,,,,
2020-07-13,,"16,000",,
2020-07-14,,"16,000","15,720","16,000"
2020-07-15,,"16,000","16,000","16,000"
2020-07-16,,"16,000","15,730","15,720"
2020-07-17,,"15,720",,
2020-07-18,,,,
2020-07-19,,,,
2020-07-20,,"15,720",,
2020-07-21,,"15,720","15,720","15,720"
2020-07-22,,"15,720",,
2020-07-23,,"15,720",,
2020-07-24,,"15,720","16,190","16,190"
2020-07-25,,,,
2020-07-26,,,,
2020-07-27,,"16,190",,
2020-07-28,,"16,190",,
2020-07-29,,"16,190",,
2020-07-30,,"16,190","15,520","15,520"
2020-07-31,,,,
2020-08-01,,,,
2020-08-02,,,,
2020-08-03,,"15,520",,
2020-08-04,,"15,520",,
2020-08-05,,"15,520","15,500","15,500"
2020-08-06,,"15,500",,
2020-08-07,,"15,500",,
2020-08-08,,,,
2020-08-09,,,,
2020-08-10,,"15,500",,
2020-08-11,,"15,500",,
2020-08-12,,"15,500",,
2020-08-13,,,,
2020-08-14,,"15,500",,
2020-08-15,,,,
2020-08-16,,,,
2020-08-17,,"15,500",,
2020-08-18,,"15,500","15,900","15,960"
2020-08-19,,"15,960",,
2020-08-20,,,,
2020-08-21,,"15,960",,
2020-08-22,,,,
2020-08-23,,,,
2020-08-24,,"15,960","15,490","16,400"
2020-08-25,,"16,400",,
2020-08-26,,"16,400",,
2020-08-27,,"16,400","15,910","15,910"
2020-08-28,,"15,910","15,440","15,900"
2020-08-29,,,,
2020-08-30,,,,
2020-08-31,,"15,900",,
2020-09-01,,"15,900","15,900","15,900"
2020-09-02,,"15,900",,
2020-09-03,,"15,900",,
2020-09-04,,"15,900",,
2020-09-05,,,,
2020-09-06,,,,
2020-09-07,,"15,900",,
2020-09-08,,"15,900",,
2020-09-09,,"15,900",,
2020-09-10,,"15,900","15,430","16,000"
2020-09-11,,"16,000","15,280","16,000"
2020-09-12,,,,
2020-09-13,,,,
2020-09-14,,"16,000",,
2020-09-15,,"16,000",,
2020-09-16,,"16,000",,
2020-09-17,,"16,000","16,000","16,000"
2020-09-18,,"16,000","16,000","16,000"
2020-09-19,,,,
2020-09-20,,,,
2020-09-21,,"16,000",,
2020-09-22,,"16,000",,
2020-09-23,,"16,000","15,990","15,990"
2020-09-24,,"15,990",,
2020-09-25,,"15,990",,
2020-09-26,,,,
2020-09-27,,,,
2020-09-28,,,,
2020-09-29,,,,
2020-09-30,,,,
2020-10-01,,,,
2020-10-02,,,,
2020-10-03,,,,
2020-10-04,,,,
2020-10-05,,,,
2020-10-06,,,,
2020-10-07,,,,
2020-10-08,,,,
2020-10-09,,,,
2020-10-10,,,,
2020-10-11,,,,
2020-10-12,,,,
2020-10-13,,,,
2020-10-14,,,,
2020-10-15,,,,
2020-10-16,,,,
2020-10-17,,,,
2020-10-18,,,,
2020-10-19,,,,
2020-10-20,,,,
2020-10-21,,,,
2020-10-22,,,,
2020-10-23,,,,
2020-10-24,,,,
2020-10-25,,,,
2020-10-26,,,,
2020-10-27,,,,
2020-10-28,,,,
2020-10-29,,,,
2020-10-30,,,,
2020-10-31,,,,
2020-11-01,,,,
2020-11-02,,,,
2020-11-03,,,,
2020-11-04,,,,
2020-11-05,,,,
2020-11-06,,,,
2020-11-07,,,,
2020-11-08,,,,
2020-11-09,,,,
2020-11-10,,,,
2020-11-11,,,,
2020-11-12,,,,
2020-11-13,,,,
2020-11-14,,,,
2020-11-15,,,,
2020-11-16,,,,
2020-11-17,,,,
2020-11-18,,,,
2020-11-19,,,,
2020-11-20,,,,
2020-11-21,,,,
2020-11-22,,,,
2020-11-23,,,,
2020-11-24,,,,
2020-11-25,,,,
2020-11-26,,,,
2020-11-27,,,,
2020-11-28,,,,
2020-11-29,,,,
2020-11-30,,,,
2020-12-01,,,,
2020-12-02,,,,
2020-12-03,,,,
2020-12-04,,,,
2020-12-05,,,,
2020-12-06,,,,
2020-12-07,,,,
2020-12-08,,,,
2020-12-09,,,,
2020-12-10,,,,
2020-12-11,,,,
2020-12-12,,,,
2020-12-13,,,,
2020-12-14,,,,
2020-12-15,,,,
2020-12-16,,,,
2020-12-17,,,,
2020-12-18,,,,
2020-12-19,,,,
2020-12-20,,,,
2020-12-21,,,,
2020-12-22,,,,
2020-12-23,,,,
2020-12-24,,,,
2020-12-25,,,,
2020-12-26,,,,
2020-12-27,,,,
2020-12-28,,,,
2020-12-29,,,,
2020-12-30,,,,
2020-12-31,,,,
