,TUNIS RE,ref,ouverture,cloture
2020-04-03,,"7,120","7,300","6,910"
2020-04-04,,,,
2020-04-05,,,,
2020-04-06,,"6,910","6,910","7,110"
2020-04-07,,"7,110","7,290","7,290"
2020-04-08,,"7,290","7,110","7,290"
2020-04-09,,,,
2020-04-10,,,,
2020-04-11,,,,
2020-04-12,,,,
2020-04-13,,"7,290","7,120","7,150"
2020-04-14,,"7,150",,
2020-04-15,,"7,150","6,940","6,940"
2020-04-16,,"6,940","7,140","7,140"
2020-04-17,,"7,140","6,930","7,350"
2020-04-18,,,,
2020-04-19,,,,
2020-04-20,,"7,350","7,550","7,550"
2020-04-21,,"7,550",,
2020-04-22,,"7,550",,
2020-04-23,,"7,330","7,330","7,330"
2020-04-24,,"7,330","7,540","7,540"
2020-04-25,,,,
2020-04-26,,,,
2020-04-27,,"7,540","7,550","7,320"
2020-04-28,,"7,320",,
2020-04-29,,"7,110","7,150","7,150"
2020-04-30,,"7,150","6,940","6,940"
2020-05-01,,,,
2020-05-02,,,,
2020-05-03,,,,
2020-05-04,,"6,940","7,000","7,000"
2020-05-05,,"7,000",,
2020-05-06,,"6,790","6,900","6,900"
2020-05-07,,"6,900","7,000","7,100"
2020-05-08,,"7,100","7,310","7,100"
2020-05-09,,,,
2020-05-10,,,,
2020-05-11,,"7,100","7,000","7,100"
2020-05-12,,"7,100","6,900","7,300"
2020-05-13,,"7,300","7,450","7,450"
2020-05-14,,"7,450","7,230","7,500"
2020-05-15,,"7,500","7,550","7,700"
2020-05-16,,,,
2020-05-17,,,,
2020-05-18,,"7,700","7,700","7,700"
2020-05-19,,"7,700","7,470","7,600"
2020-05-20,,"7,600","7,550","7,600"
2020-05-21,,"7,600","7,550","7,600"
2020-05-22,,"7,600","7,600","7,700"
2020-05-23,,,,
2020-05-24,,,,
2020-05-25,,,,
2020-05-26,,"7,700","7,700","7,800"
2020-05-27,,"7,800","7,600","7,600"
2020-05-28,,"7,600","7,800","7,800"
2020-05-29,,"7,800","7,750","7,750"
2020-05-30,,,,
2020-05-31,,,,
2020-06-01,,,,
2020-06-02,,"7,800",,
2020-06-03,,,,
2020-06-04,,"7,800",,
2020-06-05,,"7,800",,
2020-06-06,,,,
2020-06-07,,,,
2020-06-08,,"7,800",,
2020-06-09,,"7,800",,
2020-06-10,,"7,800",,
2020-06-11,,"7,800","7,570","7,600"
2020-06-12,,"7,570",,
2020-06-13,,,,
2020-06-14,,,,
2020-06-15,,"7,570",,
2020-06-16,,"7,570",,
2020-06-17,,"7,570","7,350","7,560"
2020-06-18,,"7,560","7,400","7,400"
2020-06-19,,"7,400","7,200","7,550"
2020-06-20,,,,
2020-06-21,,,,
2020-06-22,,"7,550","7,450","7,500"
2020-06-23,,"7,500",,
2020-06-24,,"7,500",,
2020-06-25,,"7,500",,
2020-06-26,,"7,500","7,280","7,280"
2020-06-27,,,,
2020-06-28,,,,
2020-06-29,,"7,280","7,550","7,550"
2020-06-30,,"7,550","7,330","7,330"
2020-07-01,,"7,330","7,150","7,150"
2020-07-02,,"7,150","7,230","7,220"
2020-07-03,,"7,220",,
2020-07-04,,,,
2020-07-05,,,,
2020-07-06,,"7,220","7,110","7,200"
2020-07-07,,"7,200",,
2020-07-08,,"7,200","7,080","7,200"
2020-07-09,,"7,200","7,190","7,200"
2020-07-10,,"7,200","7,100","7,200"
2020-07-11,,,,
2020-07-12,,,,
2020-07-13,,"7,200","7,100","7,100"
2020-07-14,,"7,100","7,030","7,100"
2020-07-15,,"7,100","7,100","7,000"
2020-07-16,,"7,000","7,200","7,200"
2020-07-17,,"7,200","7,000","7,190"
2020-07-18,,,,
2020-07-19,,,,
2020-07-20,,"7,190",,
2020-07-21,,"7,190","7,000","7,000"
2020-07-22,,"7,000",,
2020-07-23,,"7,000","7,000","7,000"
2020-07-24,,"7,000","7,000","7,000"
2020-07-25,,,,
2020-07-26,,,,
2020-07-27,,"7,000","7,000","7,150"
2020-07-28,,"7,150","7,150","7,150"
2020-07-29,,"7,150","7,000","7,000"
2020-07-30,,"7,000","7,150","7,150"
2020-07-31,,,,
2020-08-01,,,,
2020-08-02,,,,
2020-08-03,,"7,150","7,150","7,290"
2020-08-04,,"7,290",,
2020-08-05,,"7,290",,
2020-08-06,,"7,290","7,080","7,080"
2020-08-07,,"7,080","6,940","7,080"
2020-08-08,,,,
2020-08-09,,,,
2020-08-10,,"7,080","7,010","7,080"
2020-08-11,,"7,080","7,010","7,080"
2020-08-12,,"7,080","7,210","7,210"
2020-08-13,,,,
2020-08-14,,"7,210","7,010","7,000"
2020-08-15,,,,
2020-08-16,,,,
2020-08-17,,"7,000","7,210","7,210"
2020-08-18,,"7,210","7,280","7,280"
2020-08-19,,"7,280",,
2020-08-20,,,,
2020-08-21,,"7,280",,
2020-08-22,,,,
2020-08-23,,,,
2020-08-24,,"7,280","7,000","7,000"
2020-08-25,,"7,000","7,210","7,210"
2020-08-26,,"7,210","7,290","7,290"
2020-08-27,,"7,290","7,290","7,290"
2020-08-28,,"7,290","7,100","7,290"
2020-08-29,,,,
2020-08-30,,,,
2020-08-31,,"7,290","7,100","7,100"
2020-09-01,,"7,100","7,280","7,280"
2020-09-02,,"7,280","7,150","7,150"
2020-09-03,,"7,150","7,150","7,000"
2020-09-04,,"7,000","6,960","7,050"
2020-09-05,,,,
2020-09-06,,,,
2020-09-07,,"7,050",,
2020-09-08,,"7,050",,
2020-09-09,,"7,050","6,900","7,200"
2020-09-10,,"7,200",,
2020-09-11,,"7,200","7,200","7,200"
2020-09-12,,,,
2020-09-13,,,,
2020-09-14,,"7,200","6,910","7,200"
2020-09-15,,"7,200","7,200","7,000"
2020-09-16,,"7,000","7,200","7,200"
2020-09-17,,"7,200",,
2020-09-18,,"7,200","6,990","6,990"
2020-09-19,,,,
2020-09-20,,,,
2020-09-21,,"6,990","7,180","7,180"
2020-09-22,,"7,180",,
2020-09-23,,"7,180","7,180","7,180"
2020-09-24,,"7,180",,
2020-09-25,,"7,180",,
2020-09-26,,,,
2020-09-27,,,,
2020-09-28,,,,
2020-09-29,,,,
2020-09-30,,,,
2020-10-01,,,,
2020-10-02,,,,
2020-10-03,,,,
2020-10-04,,,,
2020-10-05,,,,
2020-10-06,,,,
2020-10-07,,,,
2020-10-08,,,,
2020-10-09,,,,
2020-10-10,,,,
2020-10-11,,,,
2020-10-12,,,,
2020-10-13,,,,
2020-10-14,,,,
2020-10-15,,,,
2020-10-16,,,,
2020-10-17,,,,
2020-10-18,,,,
2020-10-19,,,,
2020-10-20,,,,
2020-10-21,,,,
2020-10-22,,,,
2020-10-23,,,,
2020-10-24,,,,
2020-10-25,,,,
2020-10-26,,,,
2020-10-27,,,,
2020-10-28,,,,
2020-10-29,,,,
2020-10-30,,,,
2020-10-31,,,,
2020-11-01,,,,
2020-11-02,,,,
2020-11-03,,,,
2020-11-04,,,,
2020-11-05,,,,
2020-11-06,,,,
2020-11-07,,,,
2020-11-08,,,,
2020-11-09,,,,
2020-11-10,,,,
2020-11-11,,,,
2020-11-12,,,,
2020-11-13,,,,
2020-11-14,,,,
2020-11-15,,,,
2020-11-16,,,,
2020-11-17,,,,
2020-11-18,,,,
2020-11-19,,,,
2020-11-20,,,,
2020-11-21,,,,
2020-11-22,,,,
2020-11-23,,,,
2020-11-24,,,,
2020-11-25,,,,
2020-11-26,,,,
2020-11-27,,,,
2020-11-28,,,,
2020-11-29,,,,
2020-11-30,,,,
2020-12-01,,,,
2020-12-02,,,,
2020-12-03,,,,
2020-12-04,,,,
2020-12-05,,,,
2020-12-06,,,,
2020-12-07,,,,
2020-12-08,,,,
2020-12-09,,,,
2020-12-10,,,,
2020-12-11,,,,
2020-12-12,,,,
2020-12-13,,,,
2020-12-14,,,,
2020-12-15,,,,
2020-12-16,,,,
2020-12-17,,,,
2020-12-18,,,,
2020-12-19,,,,
2020-12-20,,,,
2020-12-21,,,,
2020-12-22,,,,
2020-12-23,,,,
2020-12-24,,,,
2020-12-25,,,,
2020-12-26,,,,
2020-12-27,,,,
2020-12-28,,,,
2020-12-29,,,,
2020-12-30,,,,
2020-12-31,,,,
